eng,spa,source,otp
Kyrgyz; Kyrgyzstani; the Kyrgyz people {GENITIVE:Kyrgyz; Kyrgyzstani; Kirgiz; Kirghiz; from Kyrgyzstan|COUNTRY:Kyrgyzstan|LANGUAGE:Kyrgyz; the Kyrgyz language},,kir <кыргыз> [qɯrʁɯs],'kulkus
Lao; Laotian; the Lao people {GENITIVE:Lao; Laotian; from Laos|COUNTRY:Laos|LANGUAGE:Lao; the Lao language},,lao <ລາວ> [laːw˧],'law
Latin; the Latin people {GENITIVE:Latin; of Latin|LANGUAGE:Latin|REGION:Latium},,lat <Latīne> [laˈtiːn],'latin
Latvian; the Latvian people {GENITIVE:Latvian; from Latvia|COUNTRY:Latvia|LANGUAGE:Latvian; the Latvian language},,lav <Latvija> [ˈlatvija],'latwiya
Lebanese; the Lebanese people {GENITIVE:Lebanese; from Lebanon|COUNTRY:Lebanon},,ara <لبنان‎> [lɪbˈnɛːn],'lupnen
Liberian; the Liberian people {GENITIVE:Liberian; from Liberia|COUNTRY:Liberia},,eng <Liberia> [laɪ̯ˈbɪɹʷiə],'laypiwia
Libyan; the Libyan people {GENITIVE:Libyan; from Libya|COUNTRY:Libya},,ara <ليبيا‎> [liːbija],'lipiya
Liechtensteiner; the people of Liechtenstein {GENITIVE:Liechtensteiner; from Liechtenstein|COUNTRY:Liechtenstein},,deu <Liechtenstein> [lɪçtn̩ʃtaɪ̯n],'lictenectayn
Lingua Franca Novist; the Lingua Franca Nova speakers {GENITIVE:Lingua Franca Nova; in Lingua Franca Nova|LANGUAGE:Lingua Franca Nova; LFN; Elefen},,lfn <Elefen> [elefen],'elefen
Lithuanian; the Lithuanian people {GENITIVE:Lithuanian; from Lithuania|COUNTRY:Lithuania|LANGUAGE:Lithuanian; the Lithuanian language},,lit <lietuvis> [lʲɪɛtʊˈvɪs],'lietuwis
Lojbanist; the Lojban speakers {GENITIVE:Lojban; in Lojban|LANGUAGE:Lojban},,ljb <.lojban.> [ˈʔloʒbanʔ],'locpan
Luxembourger; the Luxembourgish people {GENITIVE:Luxembougish; Luxembourgian; from Luxembourg|COUNTRY:Luxembourg|LANGUAGE:Luxembourgish; the Luxembourgish language},,ltz <Lëtzebuerg> [lət͡səbuːəɕ],'latsapuac
Macedonian; the Macedonian people {GENITIVE:Macedonian; from Macedonia|COUNTRY:Macedon; Macedonia|LANGUAGE:Macedonian; the Macedonian language},,mkd <Македон> [makɛdɔn],'maketon
Malagasy; the Malagasy people {GENITIVE:Malagasy; from Madagascar|COUNTRY:Madagascar (country); Republic of Madagascar|LANGUAGE:Malagasy; the Malagasy language|REGION:Madagascar (island)},,mlg <malagasy> [ˌmalaˈɡasʲ],'malakas
Malaysian; Malay; the Malaysian people {GENITIVE:Malaysian; from Malaysia|COUNTRY:Malaysia|LANGUAGE:Malay; Malaysian; the Malay language},,msa <Melayu> [məlaju],'malayu
Maldivian; Dhivehi; Divehi; the Maldivian people {GENITIVE:Maldivian; from the Maldives|COUNTRY:Maldives|LANGUAGE:Maldivian; Dhivehi; Divehi; the Maldivian language},,div <ދިވެހި> [diˈʋehi],'tiwehi
Malian; the Malian people {GENITIVE:Malian; Malinese; from Mali|COUNTRY:Mali},,bam <Mali> [mali],'mali
Maltese; the Maltese people {GENITIVE:Maltese; from Malta|COUNTRY:Malta|LANGUAGE:Maltese; the Maltese language},,mlt <Malti> [mɐltɪ],'malti
Maori; the Maori people {GENITIVE:Maori; of the Maori|COUNTRY:New Zealand; Aotearoa|LANGUAGE:Maori; Te Reo; the Maori language},,mri <Māori> [maːɔɾi],'maoli
Marathi; Maratha; the Marathi people {GENITIVE:Marathi; of the Marathi|COUNTRY:Maharashtra|LANGUAGE:Marathi; the Marathi language},,mar <मराठा> [məˈɾaʈʰa],'malata
Marshallese; the Marshallese people {GENITIVE:Marshallese; Marshall Islander; from the Marshall Islands|COUNTRY:Marshall Islands|LANGUAGE:Marshallese; the Marshallese language},,mah <M̧ajeļ> [mˠɑzʲɛʌ̯ɫ],'masyel
Mashriqi person; the Mashriqi people {GENITIVE:Mashriqi; Mashriq; from the Mashriq|REGION:Mashriq},,ara <شرق‎> [ʃɑrɑqɑ],'calaka
Mauritanian; the Mauritanian people {GENITIVE:Mauritanian; from Mauritania|COUNTRY:Mauritania},,ara <موريتانيا‎> [muːriːtaːnijaː],'mulitanya
Mauritian; the Mauritian people {GENITIVE:Mauritian; from Mauritius|COUNTRY:Mauritius|LANGUAGE:Mauritian creole; Morisien},,mfe <Moris> [moʁis],'mohis
Melanesian; the Melanesian people {GENITIVE:Melanesian; from Melanesia|REGION:Melanesia},,fra <Mélanésie> [ˈmelɐnezi],'melanesi
Mexican; the Mexican people {GENITIVE:Mexican; from Mexico|COUNTRY:Mexico},,spa <México> [ˈmexiko],'mehiko
Micronesian; the Micronesian people {GENITIVE:Micronesian; from Micronesia|REGION:Micronesia (archipelago)|COUNTRY:Micronesia; Federated States of Micronesia},,fra <Micronésie> [ˈmikʁonezi],'mikhonesi
Fujianese; Fujian; the Fujianese people {GENITIVE:Fujianese; from Fujian|COUNTRY:Fujian; Fukien; Min|LANGUAGE:Min Chinese; the Min languages|REGION:Historical Fujian; Fukien},,nan <福建> [hok˨kjeŋ˨˩˧],'hokyen
Moldovan; the Moldovan people {GENITIVE:Moldovan; from Moldova|COUNTRY:Moldova|LANGUAGE:Moldovan; the Moldovan language},,ron <Moldova> [moldova],'moltofa
Monégasque; Monacan; the Monacan people {GENITIVE:Monacan; Monégasque; from Monaco},,fra <Monaco> [mɔnako],'monako
Mongol; the Mongolian people {GENITIVE:Mongolian; from Mongolia|COUNTRY:Mongolia|LANGUAGE:Mongolian; the Mongolian language},,mon <ᠮᠣᠩᠭᠣᠯ> [mɔŋɢɔɮ],'monkol
Montenegro; the country {GENITIVE:Montenegrin; from Montenegro},,cnr <TODO> [t͡sr̩ːnaː ɡɔra],'selnakola
Moroccan; the Moroccan people {GENITIVE:Moroccan; from Morocco|COUNTRY:Morocco|LANGUAGE:Standard Moroccan Berber; Amazigh; Tamazight|REGION:Maghreb},,ara <مغرب> [ɣɑrɑba],'halap
Mozambican; the Mozambican people {GENITIVE:Mozambican; from Mozambique|COUNTRY:Mozambique},,por <Moçambique> [musɐ̃ˈbikɨ],'musampiki
Bamar; Burmese; Burman; the Burmese people {GENITIVE:Myanma; Burmese; from Myanmar|COUNTRY:Myanmar; Burma|LANGUAGE:Burmese; Myanmar; the Burmese language},,mya <ဗမာ> [bəmà],'pama
Namibian; the Namibian people {GENITIVE:Namibian; from Namibia|COUNTRY:Namibia},,naq <namib> [naˈmip],'namipia
Nauruan; the Nauruan people {GENITIVE:Nauruan; from Nauru|COUNTRY:Nauru|LANGUAGE:Nauruan; the Nauruan language},,nau <Naoero> [naoero],'naoelo
